,edge,edge_text
56,((also/M/en accuse/Pd.so.|f-----/en) campaigners/Cc.p/en (of/Jr.ma/en (high/Ma/en (+/B.am/. street/Cc.s/en chain/Cc.s/en)) ((irresponsibly/M/en acting/P.xx.|pg----/en) (after/T/en (with/Br.ma/en (+/B.mm/. (+/B.am/. retailer/Cc.s/en teams/Cc.p/en) up/C/en) 23andme/Cp.s/en)) ((to/Mi/en sell/Pd.o?.-i-----/en) products/Cc.p/en ((currently/M/en banned/P.x.<pf----/en) (in/T/en (the/Md/en us/Cp.s/en))))))),Campaigners also accuse high street chain of ‘acting irresponsibly’ after retailer teams up with 23andMe to sell products currently banned in the US
57,((also/M/en accused/Pd.sox.<f-----/en) (of/Br.ma/en (the/Md/en minister/Cp.s/en) (+/B.am/. foreign/Cp.s/en affairs/Cp.p/en)) qatar/Cp.s/en (of/T/en (leaking/P.o.|pg----/en (the/Md/en (+/B.mm/. list/Cc.s/en (of/Jr.ma/en demands/Cc.p/en (includes/P.sox.|f--3s-/en which/C/en (+/B.am/. closing/C/en (+/B.am/. al/Cp.s/en jazeera/Cp.s/en)) (and/J/en (curbing/Pd.o.|pg----/en (with/Br.ma/en (diplomatic/Ma/en ties/Cc.p/en) iran/Cp.s/en)) (shutting/Pd.o.|pg----/en (a/Md/en (turkish/Ma/en (military/Ma/en base/Cc.s/en)))))))))))),"The Minister of Foreign Affairs also accused Qatar of leaking the list of demands which includes closing Al-Jazeera, curbing diplomatic ties with Iran and shutting a Turkish military base"
58,((also/M/en accused/Pd.sox.<f-----/en) (the/Md/en country/Cc.s/en) (and/J/en (+/B.am/. saudi/Cp.s/en arabia/Cp.s/en) (other/Ma/en nations/Cc.p/en)) (of/T/en (attempting/P.r.|pg----/en ((to/Mi/en undermine/P.o.-i-----/en) ('s/Bp.am/en qatar/Cp.s/en sovereignty/Cc.s/en))))),The country also accused Saudi Arabia and other nations of attempting to undermine Qatar's sovereignty
59,((also/M/en accused/Pd.soxx.<f-----/en) (the/Md/en (+/B.am/. u%2es%2e/Cp.s/en envoy/Cc.s/en)) israel/Cp.s/en (of/T/en (turning/P.ox.|pg----/en (a/Md/en (blind/Ma/en eye/Cc.s/en)) (to/T/en (against/Br.ma/en ('/Bp.am/en settlers/Cc.p/en violence/Cc.s/en) palestinians/Cp.p/en)))) (saying/Pd.r.|pg----/en (employs/P.so.|f--3s-/en (the/Md/en (jewish/Ma/en state/Cc.s/en)) (of/Br.ma/en (two/M#/en sets/Cc.p/en) (for/Br.ma/en rules/Cc.p/en (and/J/en israelis/Cp.p/en palestinians/Cp.p/en)))))),"The U.S. envoy also accused Israel of turning a blind eye to settlers' violence against Palestinians, saying the Jewish state employs two sets of rules for Israelis and Palestinians"
60,((also/M/en accused/Pd.ssox.<f-----/en) (+/B.ma/. ((worse/Mc/en than/Br.ma/en) (+/B.mm/. (+/B.am/. un/Cp.s/en (+/B.am/. privacy/Cc.s/en chief/Cc.s/en)) (+/B.am/. joseph/Cp.s/en cannataci/Cp.s/en)) ('/Bp.am/en snoopers/Cp.s/en charter/Cc.s/en)) scary/Ca/en) he/Ci/en (+/B.am/. u%2ek%2e/Cp.s/en mps/Cc.p/en) (of/T/en (leading/P.o?.|pg----/en (and/J/en (an/Md/en (absolute/Ma/en offensive/Cc.s/en)) (an/Md/en (+/B.am/. (orchestrated/Ma/en '/C/en) (+/B.am/. media/Cc.p/en campaign/Cc.s/en)))) (and/J/en ((to/Mi/en distort/P.o.-i-----/en) (the/Md/en debate/Cc.s/en)) (take/P!.o.-i-----/en (of/Br.ma/en hold/Cc.s/en (new/Ma/en powers/Cc.p/en))))))),"UN privacy chief Joseph Cannataci: Snoopers' charter 'worse than scary' ""He also accused U.K. MPs of leading an absolute offensive' and an orchestrated' media campaign to distort the debate and take hold of new powers"
61,((also/M/en accuses/Pd.so.|f--3s-/en) (and/J/en (of/Br.ma/en founder/Cc.s/en microsoft/Cp.s/en) (the/Md/en (+/B.am/. gates/Cp.s/en foundation/Cc.s/en))) (of/Jr.ma/en environmentalists/Cc.p/en (making/P.x.|pg----/en (about/Br.ma/en (misleading/Ma/en claims/Cc.p/en) (of/Br.ma/en (the/Md/en (comparative/Ma/en price/Cc.s/en)) solar/Cc.s/en))))),Founder of Microsoft and the Gates foundation also accuses environmentalists of of making misleading claims about the comparative price solar
62,((also/M/en accuses/Pd.sox.|f--3s-/en) it/Ci/en (and/J/en (both/Md/en government/Cc.s/en) industry/Cc.s/en) (of/T/en (misleading/P.ox.|pg----/en (the/Md/en public/Cc.s/en) (about/T/en (of/Br.ma/en (the/Md/en cause/Cc.s/en) (the/Md/en (lead/Ma/en poisoning/Cc.s/en))))))),It also accuses both government and industry of misleading the public about the cause of the lead poisoning
63,((also/M/en kill/Pd.rso.|f-----/en) (hit/P.sox.<f-----/en (in/Br.ma/en (israeli/Ma/en strikes/Cc.p/en) gaza/Cp.s/en) hospital/Cc.s/en (killing/Pd.o.|pg----/en 4/C#/en)) (israeli/Ma/en strikes/Cc.p/en) (of/Br.ma/en (28/M#/en members/Cc.p/en) (a/Md/en (single/Ma/en family/Cc.s/en)))),"Israeli strikes in Gaza hit hospital, killing 4; Israeli strikes also kill 28 members of a single family"
64,((also/M/en killed/P.so.<f-----/en) soldiers/Cc.p/en (a/Md/en (((21/M#/en year/M/en) old/Ma/en) man/Cc.s/en))),soldiers also killed a 21-year-old man
65,((also/M/en killed/P.so.<f-----/en) that/C/en (one/M#/en (other/Ma/en person/Cc.s/en))),that also killed one other person
66,((also/M/en killed/Pd.so.<f-----/en) (islamic/Ma/en state/Cp.s/en) (of/Br.ma/en 120/C#/en (its/Mp/en (own/Ma/en members/Cc.p/en)))),Islamic State also killed 120 of its own members
67,((also/M/en kills/P.so.|f--3s-/en) that/C/en (his/Mp/en (two/M#/en captors/Cc.p/en))),that also kills his two captors
68,((also/M/en slammed/P.so.<f-----/en) he/Ci/en (+/B.mm/. (+/B.am/. paedophile/Cc.s/en priests/Cc.p/en) (and/J/en (+/B.am/. arms/Cc.p/en dealers/Cc.p/en) fundamentalists/Cc.p/en))),"he also slammed paedophile priests, arms dealers and fundamentalists"
69,((also/M/en slammed/P.so.<f-----/en) who/Cw/en (the/Md/en (israeli/Ma/en government/Cc.s/en))),who also slammed the Israeli government
70,((am/Mv.|f-----/en warning/P.so.|pg----/en) i/Ci/en them/Ci/en),I am warning them
71,"((and/Mj/en (has/Mv.|f--3s-/en killed/P.so.<pf----/en)) that/C/en (2,500/M#/en people/Cc.p/en))","that has killed 2,500 people and"
72,((and/Mj/en killed/P.so.<f-----/en) who/Cw/en brother/Cc.s/en),who killed brother and
73,((anew/M/en slams/Pd.so.|f--3s-/en) (venezuelan/Ma/en president/Cc.s/en) twitter/Cp.s/en),Venezuelan president slams Twitter anew
74,((angrily/M/en condemned/Pd.sxoxo.<f-----/en) (the/Md/en kremlin/Cp.s/en) (on/Tt/en friday/Cp.s/en) ('s/Bp.am/en france/Cp.s/en (+/B.am/. (+/B.aa/. charlie/Cm/en hebdo/Cm/en) (satirical/Ma/en magazine/Cc.s/en))) (for/T/en (publishing/P.o?.|pg----/en (on/Br.ma/en (political/Ma/en cartoons/Cc.p/en) (the/Md/en (+/B.am/. egypt/Cp.s/en (+/B.am/. plane/Cc.s/en crash/Cc.s/en)))) (died/P.xs.<f-----/en (in/T/en which/C/en) (224/M#/en people/Cc.p/en)))) (+/B.mm/. (+/B.mm/. most/Ca/en (of/Mt/en them/Ci/en)) (russian/Ma/en tourists/Cc.p/en))),"The Kremlin on Friday angrily condemned France's Charlie Hebdo satirical magazine for publishing political cartoons on the Egypt plane crash in which 224 people died, most of them Russian tourists"
75,((annually/M/en (could/Mm/en kill/P.so.-i-----/en)) superbugs/Cp.s/en ((10/M#/en million/M#/en) people/Cc.p/en)),Superbugs Could Kill 10 Million People Annually
76,"((annually/M/en (have/Mv.|f-----/en killed/P.so.<pf----/en)) that/C/en (an/Md/en (estimated/Mv.<pf----/en (20,000/M#/en people/Cc.p/en))))","that have killed an estimated 20,000 people annually"
77,"((annually/M/en kills/Pd.so.|f--3s-/en) (here/M/en (the/Md/en (toxic/Ma/en air/Cc.s/en))) ((about/M/en 30,000/M#/en) people/Cc.p/en))","The toxic air here kills about 30,000 people annually"
78,"((annually/M/en kills/Pd.so.|f--3s-/en) alcohol/Cc.s/en (500,000/M#/en russians/Cp.p/en))","Alcohol Kills 500,000 Russians Annually"
79,((are/Mv.|f-----/en (deliberately/M/en killing/Pd.so.|pg----/en)) they/Ci/en civilians/Cc.p/en),they are deliberately killing civilians
80,((are/Mv.|f-----/en accusing/Pd.so.|pg----/en) critics/Cc.p/en (of/Br.ma/en government/Cc.s/en (a/Md/en (+/B.am/. cover/Cc.s/en up/Cc.s/en)))),critics are accusing government of a cover-up
81,((are/Mv.|f-----/en accusing/Pd.sox.|pg----/en) victims/Cc.p/en (the/Md/en pope/Cp.s/en) (of/T/en ((yet/M/en knowing/P.?.|pg----/en) (failing/Pd.r.|pg----/en ((to/Mi/en sanction/P.r.-i-----/en) (concerned/P.s.<pf----/en (the/Md/en priest/Cc.s/en))))))),victims are accusing the Pope of knowing yet failing to sanction the priest concerned
82,((are/Mv.|f-----/en arresting/Pd.so.|pg----/en) they/Ci/en (all/Md/en (young/Ma/en men/Cc.p/en))),They are arresting all young men
83,((are/Mv.|f-----/en condemning/Pd.so.|pg----/en) (german/Ma/en authorities/Cc.p/en) (of/Br.ma/en supporters/Cc.p/en (for/Jr.ma/en (a/Md/en ((far/M/en right/M/en) party/Cc.s/en)) (attacking/P.x.|pg----/en (of/Br.ma/en backers/Cc.p/en (for/Br.ma/en (a/Md/en (new/Ma/en camp/Cc.s/en)) (in/Br.ma/en refugees/Cc.p/en (of/Br.ma/en (the/Md/en (eastern/Ma/en city/Cc.s/en)) dresden/Cp.s/en)))))))),German authorities are condemning supporters of a far-right party for for attacking backers a new camp refugees in the eastern city Dresden
84,((are/Mv.|f-----/en killing/P.so.|pg----/en) (+/B.am/. argentines/Cc.p/en (+/B.am/. worry/Cc.s/en agrochemicals/Cc.p/en)) them/Ci/en),Argentines Worry Agrochemicals Are Killing Them
85,((are/Mv.|f-----/en killing/P.so.|pg----/en) (+/B.am/. diesel/Cc.s/en cars/Cc.p/en) people/Cc.p/en),Diesel cars are 'killing people
86,((are/Mv.|f-----/en killing/P.so.|pg----/en) (and/J/en cats/Cc.p/en foxes/Cp.p/en) (+/B.am/. off/Cp.s/en species/Cp.s/en)),Cats and Foxes Are Killing Off Species
87,((are/Mv.|f-----/en killing/P.so.|pg----/en) (in/Br.ma/en (+/B.am/. air/Cc.s/en strikes/Cc.p/en) syria/Cp.s/en) (of/Br.ma/en hundreds/Cc.p/en civilians/Cc.p/en)),air strikes in Syria are killing hundreds of civilians
88,((are/Mv.|f-----/en killing/P.so.|pg----/en) (internal/Ma/en differences/Cc.p/en) (and/J/en opec/Cp.s/en (its/Mp/en ability/Cc.s/en))),Internal differences are killing OPEC and its ability
89,((are/Mv.|f-----/en killing/P.so.|pg----/en) (moderate/Ma/en (syrian/Ma/en rebels/Cc.p/en)) civilians/Cc.p/en),moderate’ Syrian rebels are killing civilians
90,((are/Mv.|f-----/en killing/P.so.|pg----/en) agrochemicals/Cc.p/en them/Ci/en),agrochemicals are killing them
91,((are/Mv.|f-----/en killing/P.so.|pg----/en) cops/Cc.p/en us/Ci/en),Cops are killing us
92,((are/Mv.|f-----/en killing/P.so.|pg----/en) superbugs/Cc.p/en ('s/Bp.am/en india/Cp.s/en newborns/Cc.p/en)),Superbugs are killing India's newborns
93,((are/Mv.|f-----/en killing/Pd.so.|pg----/en) ('s/Bp.am/en peru/Cp.s/en (+/B.am/. gold/Cc.s/en miners/Cc.p/en)) (the/Md/en amazon/Cp.s/en)),Peru's gold miners are killing the Amazon
94,((are/Mv.|f-----/en killing/Pd.so.|pg----/en) ((nicotine/M/en derived/Mv.<pf----/en) pesticides/Cc.p/en) ('s/Bp.am/en canada/Cp.s/en bees/Cc.p/en)),Nicotine-Derived Pesticides Are Killing Canada's Bees
95,((are/Mv.|f-----/en killing/Pd.so.|pg----/en) (of/Br.ma/en (the/Md/en (new/Ma/en (anti/Ma/en (+/B.am/. -/Ca/en (refugee/Ma/en fences/Cc.p/en))))) europe/Cp.s/en) (wild/Ma/en animals/Cc.p/en)),The new anti-refugee fences of Europe are killing wild animals
96,((are/Mv.|f-----/en killing/Pd.so.|pg----/en) (of/Br.ma/en (two/M#/en (different/Ma/en types/Cc.p/en)) galaxies/Cc.p/en) (each/Md/en other/Ca/en)),Two Different Types Of Galaxies Are Killing Each Other
97,((are/Mv.|f-----/en killing/Pd.so.|pg----/en) airstrikes/Cc.p/en (of/Br.ma/en thousands/Cc.p/en (+/B.am/. islamic/Cp.s/en (+/B.am/. state/Cp.s/en fighters/Cp.p/en)))),Airstrikes Are Killing Thousands of Islamic State Fighters
98,((are/Mv.|f-----/en killing/Pd.so.|pg----/en) farmers/Cc.p/en (their/Mp/en flocks/Cc.p/en)),farmers are killing their flocks
99,((are/Mv.|f-----/en killing/Pd.so.|pg----/en) we/Ci/en (or/J/en innocents/Cc.p/en combatants/Cc.p/en)),we are killing innocents or combatants
100,((are/Mv.|f-----/en killing/Pd.sor.|pg----/en) (+/B.am/. military/Ca/en police/Cc.p/en) (the/Md/en cambodians/Cp.p/en) (make/P.so.|f-----/en who/Cw/en (your/Mp/en clothes/Cc.p/en))),Military Police Are Killing the Cambodians Who Make Your Clothes
101,((are/Mv.|f-----/en killing/Pd.sor.|pg----/en) (in/Br.ma/en (+/B.am/. domestic/Cp.s/en workers/Cp.p/en) lebanon/Cp.s/en) themselves/Ci/en ((to/Mi/en escape/P.o.-i-----/en) abuse/Cc.s/en)),Domestic Workers In Lebanon Are Killing Themselves To Escape Abuse
102,((are/Mv.|f-----/en warning/P.so.|pg----/en) (german/Ma/en states/Cc.p/en) (some/Md/en (expatriate/Ma/en residents/Cc.p/en))),German states are warning some expatriate residents
